img_file_name,class_ID,ymin,xmin,ymax,xmax
000155de5.jpg,boat,465, 344, 501, 448
000194a2d.jpg,boat,377, 67, 387, 85
000194a2d.jpg,boat,174, 258, 185, 306
000194a2d.jpg,boat,178, 331, 197, 370
000194a2d.jpg,boat,287, 469, 307, 492
00021ddc3.jpg,boat,705, 96, 720, 121
00021ddc3.jpg,boat,732, 123, 768, 178
00021ddc3.jpg,boat,629, 181, 638, 187
00021ddc3.jpg,boat,661, 195, 665, 201
0002756f7.jpg,boat,36, 324, 67, 351
00031f145.jpg,boat,124, 443, 153, 472
000532683.jpg,boat,460, 597, 474, 604
000532683.jpg,boat,756, 738, 763, 747
00053c6ba.jpg,boat,124, 736, 139, 752
0005d01c8.jpg,boat,598, 72, 739, 237
0005d01c8.jpg,boat,252, 476, 321, 556
0005d6d95.jpg,boat,171, 345, 190, 367
0006c52e8.jpg,boat,197, 190, 472, 407
000d42241.jpg,boat,583, 480, 588, 488
000e6378b.jpg,boat,401, 292, 422, 325
000fd9827.jpg,boat,259, 69, 276, 85
00113a75c.jpg,boat,273, 144, 312, 196
00113a75c.jpg,boat,50, 225, 91, 290
00113a75c.jpg,boat,118, 513, 159, 558
00113a75c.jpg,boat,41, 698, 70, 737
001234638.jpg,boat,401, 170, 530, 327
001566f7c.jpg,boat,473, 91, 598, 273
0017c19d6.jpg,boat,514, 428, 527, 442
0017c19d6.jpg,boat,449, 528, 469, 548
0018e5d6c.jpg,boat,127, 72, 205, 355
0019fc4d8.jpg,boat,111, 477, 166, 592
001aee007.jpg,boat,61, 270, 114, 327
001aee007.jpg,boat,712, 314, 768, 384
001aee007.jpg,boat,549, 539, 622, 608
001aee007.jpg,boat,65, 646, 195, 768
001bcf222.jpg,boat,345, 285, 361, 307
001e418bc.jpg,boat,505, 158, 631, 296
001eb2794.jpg,boat,682, 44, 698, 68
001ed8b9b.jpg,boat,183, 8, 276, 338
001eda01f.jpg,boat,545, 479, 554, 492
0022f64e5.jpg,boat,627, 135, 662, 204
00269a792.jpg,boat,225, 89, 311, 163
0027854cc.jpg,boat,316, 0, 381, 84
002868a5c.jpg,boat,622, 226, 630, 232
00286e8b9.jpg,boat,471, 445, 590, 569
